data_estacao,id,hora_medicao,uf_medicao,estacao_nome,estacao_cod,temp_hora_celsius,temp_media_dia_celsius,maior_temp_dia_celsius,menor_temp_dia_celsius,precipitacao_media_dia_mm,umidade_relativa_ar_media_dia_procentagem,vento_velocidade_media_dia_m_por_s,vento_rajada_media_da_max_dia_m_por_s,latitude_medicao,longitude_medicao
2020-06-18,4515,00:00,ES,VITORIA,A612,NULL,"18,18",30,"-46,1","0,01","71,43","1,94","4,8",-20.270833,-40.305833
2021-01-23,2634,00:00,SP,BRAGANCA PAULISTA,A744,"22,3","24,08","35,4","-22,5","0,03","66,63","2,05","5,09",-22.951944,-46.530556
2021-03-09,834,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"22,28","35,7","-32,3","0,34","81,86","1,26","3,6",-20.909892,-47.114259
2020-03-05,1995,00:00,ES,VITORIA,A612,"22,8","22,29","33,8","-28,4","0,31","77,98","1,59","4,16",-20.270833,-40.305833
2020-03-06,2019,00:00,ES,VITORIA,A612,"21,9","21,27","33,5","-32,7","0,28","77,98","1,83","4,6",-20.270833,-40.305833
2020-05-09,3555,00:00,ES,VITORIA,A612,"19,6","17,63","29,6","-37,3","0,01","72,38","1,87","4,48",-20.270833,-40.305833
2020-10-06,7155,00:00,ES,VITORIA,A612,NULL,"26,8","42,4",-37,"0,02","53,83","2,08","5,09",-20.270833,-40.305833
2020-10-28,7683,00:00,ES,VITORIA,A612,NULL,"25,13","38,7","-29,5","0,07","63,83","2,06","5,16",-20.270833,-40.305833
2020-11-01,7779,00:00,ES,VITORIA,A612,NULL,"19,57","32,2","-29,2","0,3","76,86","2,53","6,18",-20.270833,-40.305833
2021-03-24,1194,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"24,37","35,9","-36,8","0,01","68,42","1,4","3,64",-20.909892,-47.114259
2020-11-28,8427,00:00,ES,VITORIA,A612,"23,2","23,64","36,9","-22,6","0,04","66,51","2,32","5,59",-20.270833,-40.305833
2021-03-10,858,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"22,3","36,3","-35,2","0,26","79,58","1,52","4,15",-20.909892,-47.114259
2021-03-15,978,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"23,44","35,5","-27,9","0,06","72,46","1,43","3,78",-20.909892,-47.114259
2020-11-02,7803,00:00,ES,VITORIA,A612,"20,9","18,98","31,5","-28,6","0,14","68,15","2,44","5,95",-20.270833,-40.305833
2021-04-28,2034,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"21,04",34,"-42,7","0,07","73,44","1,43","3,66",-20.909892,-47.114259
2020-09-09,6507,00:00,ES,VITORIA,A612,"22,5","23,15","38,6","-45,9",0,"56,57","2,04","4,87",-20.270833,-40.305833
2020-10-25,7611,00:00,ES,VITORIA,A612,NULL,"21,41","35,3","-38,7","0,59","82,79","1,82","4,69",-20.270833,-40.305833
2021-03-26,1242,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"24,32",36,"-36,6","0,01","68,29","1,5","3,83",-20.909892,-47.114259
2020-05-27,3987,00:00,ES,VITORIA,A612,NULL,"15,74","32,4","-43,6",0,"64,43","1,45","3,62",-20.270833,-40.305833
2020-07-19,5259,00:00,ES,VITORIA,A612,NULL,"17,94","29,3","-51,2","0,02","68,19","1,98","4,75",-20.270833,-40.305833
2020-11-17,8163,00:00,ES,VITORIA,A612,25,"24,01","37,7",-18,"0,24","75,46","1,85","4,94",-20.270833,-40.305833
2020-02-01,1203,00:00,ES,VITORIA,A612,"26,8","24,95","37,6","-23,6","0,3","77,12","1,41","3,91",-20.270833,-40.305833
2020-09-06,6435,00:00,ES,VITORIA,A612,NULL,"22,24","37,3","-39,4",0,"53,95","1,79","4,48",-20.270833,-40.305833
2020-12-03,8547,00:00,ES,VITORIA,A612,"23,7","24,06",38,"-19,5","0,13","74,71","1,84","4,82",-20.270833,-40.305833
2021-04-04,1458,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"22,37","35,5","-43,6","0,06","73,95","1,77","4,41",-20.909892,-47.114259
2021-04-30,2082,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"19,44","32,6","-45,6","0,02","72,14","2,32","5,42",-20.909892,-47.114259
2020-12-10,8715,00:00,ES,VITORIA,A612,"23,6","22,32","34,3","-13,1","0,53","80,34","1,47","4,02",-20.270833,-40.305833
2021-02-19,402,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"23,6","34,3","-29,7","0,43","78,06","1,56","4,21",-20.909892,-47.114259
2020-07-18,5235,00:00,ES,VITORIA,A612,NULL,"18,59","31,3","-50,8",0,"69,62","1,91","4,45",-20.270833,-40.305833
2020-11-22,8283,00:00,ES,VITORIA,A612,"24,3","21,94","35,1","-19,4","0,12","72,98","2,07","5,05",-20.270833,-40.305833
2020-06-20,4563,00:00,ES,VITORIA,A612,NULL,"20,06","32,9","-42,5","0,02","71,96","1,54","3,78",-20.270833,-40.305833
2021-03-02,666,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"23,1","34,8","-35,1","0,06","74,31","1,94","4,82",-20.909892,-47.114259
2020-07-23,5355,00:00,ES,VITORIA,A612,NULL,"19,2",32,"-40,1",0,"63,22","1,59","3,91",-20.270833,-40.305833
2020-11-24,8331,00:00,ES,VITORIA,A612,NULL,"22,41","35,7","-21,2","0,16","73,59","2,19","5,34",-20.270833,-40.305833
2020-01-24,1011,00:00,ES,VITORIA,A612,"23,7","21,65","31,3","-15,8","1,36","88,44","2,26","5,65",-20.270833,-40.305833
2021-01-24,2658,00:00,SP,BRAGANCA PAULISTA,A744,"21,3","23,91","36,1","-21,4","0,02","67,36","1,83","4,68",-22.951944,-46.530556
2020-04-17,3027,00:00,ES,VITORIA,A612,"24,4","21,15","32,5","-40,7","0,04","78,08","1,65","4,1",-20.270833,-40.305833
2020-08-12,5835,00:00,ES,VITORIA,A612,NULL,"20,41","34,2",-40,"0,01","62,42",2,"4,88",-20.270833,-40.305833
2020-03-25,2475,00:00,ES,VITORIA,A612,"21,3","20,66","32,1","-43,3","0,07","72,5","1,89","4,62",-20.270833,-40.305833
2020-09-01,6315,00:00,ES,VITORIA,A612,"21,9","22,06","36,7","-39,6","0,01","62,84","2,58","6,05",-20.270833,-40.305833
2020-01-04,531,00:00,ES,VITORIA,A612,"23,1","22,62","32,8","-16,3","0,6","83,54","1,76","4,68",-20.270833,-40.305833
2020-05-12,3627,00:00,ES,VITORIA,A612,NULL,"18,79",31,"-45,1",0,"69,33","1,49","3,64",-20.270833,-40.305833
2020-07-31,5547,00:00,ES,VITORIA,A612,NULL,"18,03","31,1","-49,1","0,16","71,25","2,54","6,06",-20.270833,-40.305833
2020-10-16,7395,00:00,ES,VITORIA,A612,"24,3","21,41","40,9","-41,2","0,1","71,2","2,43","5,79",-20.270833,-40.305833
2021-03-25,1218,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"24,27","35,6","-32,9","0,01","68,38","1,6","4,06",-20.909892,-47.114259
2020-03-02,1923,00:00,ES,VITORIA,A612,"23,2","20,96","35,7","-34,9","0,83","83,91","2,07","5,28",-20.270833,-40.305833
2021-04-11,1626,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"21,52","34,4","-42,4",0,"64,47","1,4","3,52",-20.909892,-47.114259
2021-04-20,1842,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"20,56","31,4","-48,8","0,12","74,32","2,02","5,12",-20.909892,-47.114259
2020-01-11,699,00:00,ES,VITORIA,A612,"25,6","25,75","39,1",-12,"0,13","71,89","1,67","4,38",-20.270833,-40.305833
2020-01-13,747,00:00,ES,VITORIA,A612,"27,4","24,85","38,9","-16,3","0,39","74,87","1,61","4,25",-20.270833,-40.305833
2020-04-24,3195,00:00,ES,VITORIA,A612,NULL,"20,92","32,3","-41,9","0,02","74,49","1,77","4,27",-20.270833,-40.305833
2020-06-16,4467,00:00,ES,VITORIA,A612,NULL,"18,8",30,"-40,9","0,08","76,69","2,19","5,25",-20.270833,-40.305833
2020-08-25,6147,00:00,ES,VITORIA,A612,NULL,"16,77","32,3",-42,"0,01","59,49","2,43","5,78",-20.270833,-40.305833
2020-12-02,8523,00:00,ES,VITORIA,A612,NULL,"23,53","37,3","-21,9","0,26","75,5","1,7","4,4",-20.270833,-40.305833
2020-01-22,963,00:00,ES,VITORIA,A612,"22,2","22,57",33,-18,"0,47","80,08","1,94","4,86",-20.270833,-40.305833
2020-01-28,1107,00:00,ES,VITORIA,A612,"23,9","24,36","36,5","-18,5","0,18","74,96","1,7","4,43",-20.270833,-40.305833
2020-04-28,3291,00:00,ES,VITORIA,A612,NULL,"19,84","30,9","-24,1",0,"69,88","1,85","4,52",-20.270833,-40.305833
